Task,Assign,Estimación,Status
HU2-TK3 Documentar casos de uso para Front,,8,Not Started
HU2-TK1 Inventariado de casos,,4,Not Started
HU2-TK2 Librería Actualizar / Rehacer,,40,Not Started
HU2-TK4 Mopckup look&feel guarro,,16,Not Started
