Task,Assign,Estimación,Status
HU1-TK1 Recopilación de plantillas,,4,Not Started
HU1-TK3 Investigación / Creación de moodboard,,3,Not Started
HU1-TK2 Definición de tipos de notificaciones,,8,Not Started
HU1-TK4 Diseño de plantillas,,12,Not Started
HU1-TK5 Diseño versión Mobile,,12,Not Started
